nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
καταβασι,καταβασει,"standard ει, nonstandard ι",,,
καταβεβηκωτες,καταβεβηκοτες,ο and ω,,,
καταβεβικοτες,καταβεβηκοτες,η and ι,,,
καταβηθει,καταβηθι,"standard ι, nonstandard ει",,,
καταβολλης,καταβολης,λ gemination,,,
καταγγελλευς,καταγγελευς,λ gemination,,,
καταγγελλιν,καταγγελλειν,"nonstandard ι, standard ει",,,
καταγγελουσιν,καταγγελουσι,movable ν,,,
καταγεινωσκη,καταγινωσκη,"nonstandard ει, standard ι",,,
καταδικασθηται,καταδικασθητε,"nonstandard αι, standard ε",,,
καταδυναστευωμενους,καταδυναστευομενους,ο and ω,,,
καταθαιμα,καταθεμα,"nonstandard αι, standard ε",,,
καταθαιματιζειν,καταθεματιζειν,"nonstandard αι, standard ε",,,
καταικλασεν,κατεκλασεν,"nonstandard αι, standard ε",,,
καταισθιετε,κατεσθιετε,"nonstandard αι, standard ε",,,
καταισθιοντες,κατεσθιοντες,"nonstandard αι, standard ε",,,
κατακαυσι,κατακαυσει,"nonstandard ι, standard ει",,,
κατακαυχασθαι,κατακαυχασθε,"nonstandard αι, standard ε",,,
κατακιμενον,κατακειμενον,"standard ει, nonstandard ι",,,
κατακισθαι,κατακεισθαι,"standard ει, nonstandard ι",,,
κατακλειθηναι,κατακλιθηναι,"nonstandard ει, standard ι",,,
κατακλειθης,κατακλιθης,"standard ι, nonstandard ει",,,
κατακλεινατε,κατακλινατε,"nonstandard ει, standard ι",,,
κατακολουθισασα,κατακολουθησασα,η and ι,,,
κατακρεινουσιν,κατακρινουσιν,"standard ι, nonstandard ει",,,
κατακρεινων,κατακρινων,"nonstandard ει, standard ι",,,
κατακριθισεται,κατακριθησεται,η and ι,,,
κατακρινι,κατακρινει,"standard ει, nonstandard ι",,,
κατακρινις,κατακρινεις,"standard ει, nonstandard ι",,,
καταλαβι,καταλαβη,η and ι,,,
καταλαβωμενοι,καταλαβομενοι,ο and ω,,,
καταλαβωμενος,καταλαβομενος,ο and ω,,,
καταλαλειαι,καταλαλιαι,"nonstandard ει, standard ι",,,
καταλαλειας,καταλαλιας,"nonstandard ει, standard ι",,,
καταλαλειται,καταλαλειτε,"nonstandard αι, standard ε",,,
καταλαλουσειν,καταλαλουσιν,"nonstandard ει, standard ι",,,
καταλαμβανωμαι,καταλαμβανομαι,ο and ω,,,
καταλειπη,καταλιπη,"nonstandard ει, standard ι",,,
καταλειποι,καταλοιποι,"standard ι, nonstandard ει",,,
καταλειποντες,καταλιποντες,"nonstandard ει, standard ι",,,
καταλειπων,καταλιπων,"nonstandard ει, standard ι",,,
καταλελειμενος,καταλελειμμενος,removal of double μ,,,
καταλελιμμενος,καταλελειμμενος,"nonstandard ι, standard ει",,,
καταλιμμα,καταλειμμα,"nonstandard ι, standard ει",,,
καταλιπει,καταλειπει,"standard ει, nonstandard ι",,,
καταλιπομενης,καταλειπομενης,"nonstandard ι, standard ει",,,
καταλιφθηναι,καταλειφθηναι,"standard ει, nonstandard ι",,,
καταλιψαντας,καταλειψαντας,"nonstandard ι, standard ει",,,
καταλιψει,καταλειψει,"standard ει, nonstandard ι",,,
καταλιψι,καταλειψει,"nonstandard ι, standard ει",,,
καταλυσι,καταλυσει,"nonstandard ι, standard ει",,,
καταλυσωσιν,καταλυσωσι,movable ν,,,
καταμαθεται,καταμαθετε,"nonstandard αι, standard ε",,,
καταμαρτυρουσειν,καταμαρτυρουσιν,"standard ι, nonstandard ει",,,
καταμενονταις,καταμενοντες,"nonstandard αι, standard ε",,,
κατανοησαται,κατανοησατε,"nonstandard αι, standard ε",,,
κατανοουντει,κατανοουντι,"nonstandard ει, standard ι",,,
καταντισαι,καταντησαι,η and ι,,,
καταντισαντες,καταντησαντες,η and ι,,,
κατανωησαι,κατανοησαι,ο and ω,,,
καταξιωθηται,καταξιωθητε,"nonstandard αι, standard ε",,,
καταπαιτασμα,καταπετασμα,"nonstandard αι, standard ε",,,
καταπατισθαι,καταπατεισθαι,"standard ει, nonstandard ι",,,
καταπατισωσιν,καταπατησωσιν,η and ι,,,
καταπειη,καταπιη,"nonstandard ει, standard ι",,,
καταπεινοντες,καταπινοντες,"nonstandard ει, standard ι",,,
καταπεσωντων,καταπεσοντων,ο and ω,,,
καταπιπτιν,καταπιπτειν,"standard ει, nonstandard ι",,,
καταρτιζεσθαι,καταρτιζεσθε,"nonstandard αι, standard ε",,,
καταρτιζεται,καταρτιζετε,"nonstandard αι, standard ε",,,
καταρτιζωντας,καταρτιζοντας,ο and ω,,,
καταρτισει,καταρτισαι,"standard ι, nonstandard ει",,,
κατασισας,κατασεισας,"nonstandard ι, standard ει",,,
κατασκευασι,κατασκευασει,"nonstandard ι, standard ει",,,
κατασκηνωσις,κατασκηνωσεις,"nonstandard ι, standard ει",,,
κατασκινουν,κατασκηνουν,η and ι,,,
κατασκινωσει,κατασκηνωσει,η and ι,,,
κατασκινωσεις,κατασκηνωσεις,η and ι,,,
καταστησι,καταστησει,"nonstandard ι, standard ει",,,
καταστιλας,καταστειλας,"nonstandard ι, standard ει",,,
καταστισει,καταστησει,η and ι,,,
καταστισω,καταστησω,η and ι,,,
καταστισωμεν,καταστησωμεν,η and ι,,,
κατασχεσι,κατασχεσει,"standard ει, nonstandard ι",,,
καταφερωμενος,καταφερομενος,ο and ω,,,
καταφρονησηται,καταφρονησητε,"nonstandard αι, standard ε",,,
καταφρονις,καταφρονεις,"nonstandard ι, standard ει",,,
καταφρονισει,καταφρονησει,η and ι,,,
καταφρονισητε,καταφρονησητε,η and ι,,,
καταφρονιται,καταφρονηται,η and ι,,,
καταφρονιτε,καταφρονειτε,"nonstandard ι, standard ει",,,
καταφρονιτω,καταφρονειτω,"nonstandard ι, standard ει",,,
καταφρονιτωσαν,καταφρονειτωσαν,"nonstandard ι, standard ει",,,
καταφρωνησει,καταφρονησει,ο and ω,,,
καταχθενταις,καταχθεντες,"nonstandard αι, standard ε",,,
κατεγελλων,κατεγελων,λ gemination,,,
κατεδειωξαν,κατεδιωξαν,"nonstandard ει, standard ι",,,
κατεδικασαται,κατεδικασατε,"nonstandard αι, standard ε",,,
κατεθικεν,κατεθηκεν,η and ι,,,
κατειδωλων,κατειδωλον,ο and ω,,,
κατεικει,κατοικει,"standard ι, nonstandard ει",,,
κατειωται,κατιωται,"nonstandard ει, standard ι",,,
κατεκαι,κατεκαη,η and ι,,,
κατεκαιων,κατεκαιον,ο and ω,,,
κατεκειτω,κατεκειτο,ο and ω,,,
κατεκιτο,κατεκειτο,"nonstandard ι, standard ει",,,
κατεκληρονομισεν,κατεκληρονομησεν,η and ι,,,
κατεκλισα,κατεκλεισα,"nonstandard ι, standard ει",,,
κατεκλισεν,κατεκλεισεν,"nonstandard ι, standard ει",,,
κατεκρειναν,κατεκριναν,"nonstandard ει, standard ι",,,
κατεκρεινεν,κατεκρινεν,"nonstandard ει, standard ι",,,
κατελειπον,κατελιπον,"nonstandard ει, standard ι",,,
κατελθιν,κατελθειν,"nonstandard ι, standard ει",,,
κατελιφθη,κατελειφθη,"standard ει, nonstandard ι",,,
κατενεχθις,κατενεχθεις,"nonstandard ι, standard ει",,,
κατενωουν,κατενοουν,ο and ω,,,
κατεπεστισαν,κατεπεστησαν,η and ι,,,
κατεργαζεσθαι,κατεργαζεσθε,"nonstandard αι, standard ε",,,
κατεσθειει,κατεσθιει,"standard ι, nonstandard ει",,,
κατεσθειοντες,κατεσθιοντες,"standard ι, nonstandard ει",,,
κατεσθιονταις,κατεσθιοντες,"nonstandard αι, standard ε",,,
κατεσθιωντες,κατεσθιοντες,ο and ω,,,
κατεσισεν,κατεσεισεν,"nonstandard ι, standard ει",,,
κατεσκαμενα,κατεσκαμμενα,removal of double μ,,,
κατεστισεν,κατεστησεν,η and ι,,,
κατεφειλησεν,κατεφιλησεν,"standard ι, nonstandard ει",,,
κατεφιλισεν,κατεφιλησεν,η and ι,,,
κατεφυγων,κατεφυγον,ο and ω,,,
κατεχεται,κατεχετε,"nonstandard αι, standard ε",,,
κατεχιν,κατεχειν,"nonstandard ι, standard ει",,,
κατηγγελλη,κατηγγελη,λ gemination,,,
κατηγγιλαμεν,κατηγγειλαμεν,"nonstandard ι, standard ει",,,
κατηγγιλαν,κατηγγειλαν,"nonstandard ι, standard ει",,,
κατηγορει,κατηγοροι,"standard ι, nonstandard ει",,,
κατηγοριν,κατηγορειν,"nonstandard ι, standard ει",,,
κατηγορισαι,κατηγορησαι,η and ι,,,
κατηγορισθαι,κατηγορεισθαι,"standard ει, nonstandard ι",,,
κατηγορισωσιν,κατηγορησωσιν,η and ι,,,
κατηγοριται,κατηγορειται,"standard ει, nonstandard ι",,,
κατηγοριτωσαν,κατηγορειτωσαν,"nonstandard ι, standard ει",,,
κατηγορουσιν,κατηγορουσι,movable ν,,,
κατηγωρειν,κατηγορειν,ο and ω,,,
κατηγωρειται,κατηγορειται,ο and ω,,,
κατηγωρησαι,κατηγορησαι,ο and ω,,,
κατηγωρησωσιν,κατηγορησωσιν,ο and ω,,,
κατηγωροις,κατηγοροις,ο and ω,,,
κατηγωρος,κατηγορος,ο and ω,,,
κατηγωρουν,κατηγορουν,ο and ω,,,
κατηλθωμεν,κατηλθομεν,ο and ω,,,
κατηλθων,κατηλθον,ο and ω,,,
κατηντισαμεν,κατηντησαμεν,η and ι,,,
κατηντισαν,κατηντησαν,η and ι,,,
κατηντισεν,κατηντησεν,η and ι,,,
κατηργηθηται,κατηργηθητε,"nonstandard αι, standard ε",,,
κατηφιαν,κατηφειαν,"nonstandard ι, standard ει",,,
κατηχιμενος,κατηχημενος,η and ι,,,
κατηχινται,κατηχηνται,η and ι,,,
κατιγαγον,κατηγαγον,η and ι,,,
κατιγγειλαμεν,κατηγγειλαμεν,η and ι,,,
κατιγγελλον,κατηγγελλον,η and ι,,,
κατιγορειν,κατηγορειν,η and ι,,,
κατιγορειτωσαν,κατηγορειτωσαν,η and ι,,,
κατιγορουμεν,κατηγορουμεν,η and ι,,,
κατιγορουν,κατηγορουν,η and ι,,,
κατιδωλον,κατειδωλον,"nonstandard ι, standard ει",,,
κατινεγκα,κατηνεγκα,η and ι,,,
κατιντησαμεν,κατηντησαμεν,η and ι,,,
κατιντησεν,κατηντησεν,η and ι,,,
κατιραμενοι,κατηραμενοι,η and ι,,,
κατιρασω,κατηρασω,η and ι,,,
κατισχυνοντο,κατησχυνοντο,η and ι,,,
κατιχημενος,κατηχημενος,η and ι,,,
κατιχθημεν,κατηχθημεν,η and ι,,,
κατοικειας,κατοικιας,"nonstandard ει, standard ι",,,
κατοικειται,κατοικειτε,"nonstandard αι, standard ε",,,
κατοικι,κατοικει,"standard ει, nonstandard ι",,,
κατοικιν,κατοικειν,"standard ει, nonstandard ι",,,
κατοικισαι,κατοικησαι,η and ι,,,
κατοικισαντι,κατοικησαντι,η and ι,,,
κατοικισιν,κατοικησιν,η and ι,,,
κατοικιτε,κατοικειτε,"standard ει, nonstandard ι",,,
κατοικουνταις,κατοικουντες,"nonstandard αι, standard ε",,,
κατωκισεν,κατωκησεν,η and ι,,,
κατωρθωματων,κατορθωματων,ο and ω,,,
καυσωνει,καυσωνι,"nonstandard ει, standard ι",,,
καυχησεις,καυχησις,"nonstandard ει, standard ι",,,
κειβωτον,κιβωτον,"nonstandard ει, standard ι",,,
κειβωτου,κιβωτου,"nonstandard ει, standard ι",,,
κειμωμενος,κοιμωμενος,"standard ι, nonstandard ει",,,
κεινησαι,κινησαι,"nonstandard ει, standard ι",,,
κεινησιν,κινησιν,"standard ι, nonstandard ει",,,
κεινησω,κινησω,"nonstandard ει, standard ι",,,
κεινουμεθα,κινουμεθα,"nonstandard ει, standard ι",,,
κεινουντα,κινουντα,"nonstandard ει, standard ι",,,
κεινουντες,κινουντες,"nonstandard ει, standard ι",,,
κεινωνοι,κοινωνοι,"standard ι, nonstandard ει",,,
κεις,κις,"nonstandard ει, standard ι",,,
κεκαθεικεν,κεκαθικεν,"nonstandard ει, standard ι",,,
κεκαλυμενον,κεκαλυμμενον,removal of double μ,,,
κεκλεικεν,κεκλικεν,"standard ι, nonstandard ει",,,
κεκληκωτι,κεκληκοτι,ο and ω,,,
κεκλιμενοι,κεκλημενοι,η and ι,,,
κεκλιμενοις,κεκλημενοις,η and ι,,,
κεκλιμενους,κεκλημενους,η and ι,,,
κεκλισμενον,κεκλεισμενον,"nonstandard ι, standard ει",,,
κεκλισμενων,κεκλεισμενων,"nonstandard ι, standard ει",,,
κεκλισται,κεκλεισται,"standard ει, nonstandard ι",,,
κεκοιμιμενων,κεκοιμημενων,η and ι,,,
κεκονιαμεναι,κεκονιαμενε,"nonstandard αι, standard ε",,,
κεκοσμιμενην,κεκοσμημενην,η and ι,,,
κεκοσμιμενοι,κεκοσμημενοι,η and ι,,,
κεκοσμιμενον,κεκοσμημενον,η and ι,,,
κεκραξωνται,κεκραξονται,ο and ω,,,
κεκρατικεναι,κεκρατηκεναι,η and ι,,,
κεκρεικει,κεκρικει,"standard ι, nonstandard ει",,,
κεκρικαται,κεκρικατε,"nonstandard αι, standard ε",,,
κεκρυμενα,κεκρυμμενα,removal of double μ,,,
κεκρυμενω,κεκρυμμενω,removal of double μ,,,
κενων,κενον,ο and ω,,,
κεραμαιως,κεραμεως,"nonstandard αι, standard ε",,,
κεραμεικα,κεραμικα,"nonstandard ει, standard ι",,,
